id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2020-953013";"2020-12-21";"1";"Vente";"15000.0";"90.0";"None";"BD RICHARD WALLACE";"8150";"92800";"92062";"Puteaux";"92";"None";"None";"920620000U0143";"None";"None";"10";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.235278";"48.88227";"0000U"
"2020-946770";"2020-06-18";"1";"Vente";"14300.0";"91.0";"None";"RUE VICTOR HUGO";"9635";"92800";"92062";"Puteaux";"92";"None";"None";"920620000U0120";"None";"None";"77";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.235138";"48.883433";"0000U"
"2020-946479";"2020-06-15";"1";"Vente";"230000.0";"11.0";"None";"RUE FERNAND PELLOUTIER";"3540";"92800";"92062";"Puteaux";"92";"None";"None";"920620000U0005";"None";"None";"10";"26.68";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"40.0";"2.0";"None";"None";"None";"None";"nan";"2.234222";"48.88486";"0000U"
"2020-946214";"2020-05-28";"1";"Vente en l'état futur d'achèvement";"395000.0";"29.0";"None";"RUE LUCIEN VOILIN";"5175";"92800";"92062";"Puteaux";"92";"None";"None";"920620000U0053";"None";"None";"2";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"2.236716";"48.882989";"0000U"
"2020-946061";"2020-05-25";"1";"Vente";"545000.0";"156.0";"None";"RUE DE LA REPUBLIQUE";"8140";"92800";"92062";"Puteaux";"92";"None";"None";"920620000U0113";"None";"None";"11";"nan";"18";"nan";"21";"33.25";"5";"79.87";"None";"None";"4";"2";"Appartement";"90.0";"3.0";"None";"None";"None";"None";"nan";"2.235066";"48.884273";"0000U"
"2020-946061";"2020-05-25";"1";"Vente";"545000.0";"156.0";"None";"RUE DE LA REPUBLIQUE";"8140";"92800";"92062";"Puteaux";"92";"None";"None";"920620000U0113";"None";"None";"10";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"36.0";"2.0";"None";"None";"None";"None";"nan";"2.235066";"48.884273";"0000U"
"2020-946047";"2020-05-19";"1";"Vente";"285700.0";"62.0";"None";"RUE VICTOR HUGO";"9635";"92800";"92062";"Puteaux";"92";"None";"None";"920620000U0121";"None";"None";"16";"44.84";"423";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"42.0";"2.0";"None";"None";"None";"None";"nan";"2.235794";"48.88264";"0000U"
"2020-946047";"2020-05-19";"1";"Vente";"285700.0";"62.0";"None";"RUE VICTOR HUGO";"9635";"92800";"92062";"Puteaux";"92";"None";"None";"920620000U0121";"None";"None";"720";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.235794";"48.88264";"0000U"
"2020-945584";"2020-03-09";"1";"Vente en l'état futur d'achèvement";"682000.0";"7.0";"None";"RUE CHARLES CHENU";"1455";"92800";"92062";"Puteaux";"92";"None";"None";"920620000U0051";"None";"None";"30";"nan";"55";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"73.0";"3.0";"None";"None";"None";"None";"nan";"2.236453";"48.883235";"0000U"
"2020-945584";"2020-03-09";"1";"Vente en l'état futur d'achèvement";"682000.0";"7.0";"None";"RUE CHARLES CHENU";"1455";"92800";"92062";"Puteaux";"92";"None";"None";"920620000U0051";"None";"None";"53";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.236453";"48.883235";"0000U"
